par,trt,bk,tt,inc
1_1,1,1,15,3
1_1,1,1,58,30
1_1,1,1,95,43
1_1,1,1,146,46
1_1,1,1,165,44
1_1,1,1,180,45
1_1,1,1,248,46
2_1,2,1,15,1
2_1,2,1,58,10
2_1,2,1,95,20
2_1,2,1,146,19
2_1,2,1,165,16
2_1,2,1,180,19
2_1,2,1,248,19
3_1,3,1,15,1
3_1,3,1,58,9
3_1,3,1,95,17
3_1,3,1,146,23
3_1,3,1,165,20
3_1,3,1,180,22
3_1,3,1,248,24
4_1,4,1,15,2
4_1,4,1,58,25
4_1,4,1,95,29
4_1,4,1,146,30
4_1,4,1,165,30
4_1,4,1,180,28
4_1,4,1,248,30
5_1,5,1,15,2
5_1,5,1,58,22
5_1,5,1,95,35
5_1,5,1,146,39
5_1,5,1,165,35
5_1,5,1,180,38
5_1,5,1,248,37
6_1,6,1,15,3
6_1,6,1,58,33
6_1,6,1,95,43
6_1,6,1,146,45
6_1,6,1,165,43
6_1,6,1,180,46
6_1,6,1,248,46
7_1,7,1,15,0
7_1,7,1,58,5
7_1,7,1,95,10
7_1,7,1,146,13
7_1,7,1,165,13
7_1,7,1,180,14
7_1,7,1,248,14
8_1,8,1,15,3
8_1,8,1,58,29
8_1,8,1,95,38
8_1,8,1,146,40
8_1,8,1,165,33
8_1,8,1,180,38
8_1,8,1,248,37
9_1,9,1,15,4
9_1,9,1,58,26
9_1,9,1,95,37
9_1,9,1,146,33
9_1,9,1,165,28
9_1,9,1,180,33
9_1,9,1,248,33
10_1,10,1,15,4
10_1,10,1,58,39
10_1,10,1,95,55
10_1,10,1,146,57
10_1,10,1,165,49
10_1,10,1,180,54
10_1,10,1,248,54
11_1,11,1,15,3
11_1,11,1,58,35
11_1,11,1,95,48
11_1,11,1,146,61
11_1,11,1,165,52
11_1,11,1,180,56
11_1,11,1,248,57
1_2,1,2,15,3
1_2,1,2,58,29
1_2,1,2,95,38
1_2,1,2,146,43
1_2,1,2,165,40
1_2,1,2,180,41
1_2,1,2,248,41
2_2,2,2,15,1
2_2,2,2,58,13
2_2,2,2,95,15
2_2,2,2,146,16
2_2,2,2,165,17
2_2,2,2,180,17
2_2,2,2,248,18
3_2,3,2,15,1
3_2,3,2,58,10
3_2,3,2,95,20
3_2,3,2,146,27
3_2,3,2,165,25
3_2,3,2,180,28
3_2,3,2,248,30
4_2,4,2,15,3
4_2,4,2,58,27
4_2,4,2,95,30
4_2,4,2,146,33
4_2,4,2,165,31
4_2,4,2,180,30
4_2,4,2,248,31
5_2,5,2,15,3
5_2,5,2,58,33
5_2,5,2,95,35
5_2,5,2,146,37
5_2,5,2,165,38
5_2,5,2,180,37
5_2,5,2,248,37
6_2,6,2,15,3
6_2,6,2,58,38
6_2,6,2,95,47
6_2,6,2,146,41
6_2,6,2,165,38
6_2,6,2,180,42
6_2,6,2,248,42
7_2,7,2,15,1
7_2,7,2,58,9
7_2,7,2,95,9
7_2,7,2,146,12
7_2,7,2,165,11
7_2,7,2,180,12
7_2,7,2,248,11
8_2,8,2,15,3
8_2,8,2,58,33
8_2,8,2,95,37
8_2,8,2,146,38
8_2,8,2,165,30
8_2,8,2,180,35
8_2,8,2,248,33
9_2,9,2,15,3
9_2,9,2,58,28
9_2,9,2,95,46
9_2,9,2,146,55
9_2,9,2,165,49
9_2,9,2,180,52
9_2,9,2,248,53
10_2,10,2,15,1
10_2,10,2,58,25
10_2,10,2,95,39
10_2,10,2,146,44
10_2,10,2,165,40
10_2,10,2,180,43
10_2,10,2,248,43
11_2,11,2,15,3
11_2,11,2,58,32
11_2,11,2,95,41
11_2,11,2,146,48
11_2,11,2,165,42
11_2,11,2,180,43
11_2,11,2,248,44
1_3,1,3,15,3
1_3,1,3,58,31
1_3,1,3,95,40
1_3,1,3,146,48
1_3,1,3,165,46
1_3,1,3,180,45
1_3,1,3,248,47
2_3,2,3,15,1
2_3,2,3,58,5
2_3,2,3,95,13
2_3,2,3,146,15
2_3,2,3,165,13
2_3,2,3,180,14
2_3,2,3,248,15
3_3,3,3,15,1
3_3,3,3,58,6
3_3,3,3,95,15
3_3,3,3,146,19
3_3,3,3,165,19
3_3,3,3,180,20
3_3,3,3,248,22
4_3,4,3,15,2
4_3,4,3,58,19
4_3,4,3,95,27
4_3,4,3,146,28
4_3,4,3,165,25
4_3,4,3,180,27
4_3,4,3,248,26
5_3,5,3,15,2
5_3,5,3,58,18
5_3,5,3,95,35
5_3,5,3,146,42
5_3,5,3,165,37
5_3,5,3,180,41
5_3,5,3,248,39
6_3,6,3,15,2
6_3,6,3,58,19
6_3,6,3,95,23
6_3,6,3,146,40
6_3,6,3,165,39
6_3,6,3,180,42
6_3,6,3,248,41
7_3,7,3,15,1
7_3,7,3,58,4
7_3,7,3,95,9
7_3,7,3,146,11
7_3,7,3,165,9
7_3,7,3,180,9
7_3,7,3,248,11
8_3,8,3,15,1
8_3,8,3,58,14
8_3,8,3,95,19
8_3,8,3,146,31
8_3,8,3,165,37
8_3,8,3,180,36
8_3,8,3,248,40
9_3,9,3,15,3
9_3,9,3,58,38
9_3,9,3,95,41
9_3,9,3,146,42
9_3,9,3,165,39
9_3,9,3,180,41
9_3,9,3,248,41
10_3,10,3,15,4
10_3,10,3,58,40
10_3,10,3,95,47
10_3,10,3,146,53
10_3,10,3,165,49
10_3,10,3,180,47
10_3,10,3,248,45
11_3,11,3,15,4
11_3,11,3,58,38
11_3,11,3,95,40
11_3,11,3,146,43
11_3,11,3,165,39
11_3,11,3,180,41
11_3,11,3,248,41
